REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Adjustments,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Sep-19,Newfoundland and Labrador,2016A000210,"Beer, wine and liquor stores [4453]",Unadjusted,Dollars,81,thousands,3,v52367403,2.18.1,,x,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Health and personal care stores [446],Unadjusted,Dollars,81,thousands,3,v52367404,2.19.1,54111,A,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Gasoline stations [447],Unadjusted,Dollars,81,thousands,3,v52367406,2.20.1,95267,A,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Clothing and clothing accessories stores [448],Unadjusted,Dollars,81,thousands,3,v52367407,2.21.1,23047,A,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Clothing stores [4481],Unadjusted,Dollars,81,thousands,3,v52367408,2.22.1,19114,A,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Shoe stores [4482],Unadjusted,Dollars,81,thousands,3,v52367409,2.23.1,,x,,,0
Sep-19,Newfoundland and Labrador,2016A000210,"Jewellery, luggage and leather goods stores [4483]",Unadjusted,Dollars,81,thousands,3,v52367410,2.24.1,,x,,,0
Sep-19,Newfoundland and Labrador,2016A000210,"Sporting goods, hobby, book and music stores [451]",Unadjusted,Dollars,81,thousands,3,v52367411,2.25.1,10329,A,,,0
Sep-19,Newfoundland and Labrador,2016A000210,General merchandise stores [452],Unadjusted,Dollars,81,thousands,3,v52367412,2.26.1,107407,A,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Department stores [4521],Unadjusted,Dollars,81,thousands,3,v52367413,2.27.1,,x,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Other general merchandise stores [4529],Unadjusted,Dollars,81,thousands,3,v52367414,2.28.1,,x,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Miscellaneous store retailers [453],Unadjusted,Dollars,81,thousands,3,v52367415,2.29.1,15397,B,,,0
Sep-19,Newfoundland and Labrador,2016A000210,Cannabis stores [453993],Unadjusted,Dollars,81,thousands,3,v1035339083,2.30.1,3119,A,,,0
Sep-19,Prince Edward Island,2016A000211,Retail trade [44-45],Unadjusted,Dollars,81,thousands,3,v52367423,3.1.1,210123,A,,,0
Sep-19,Prince Edward Island,2016A000211,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,3,v52367424,3.1.2,212171,A,,,0
Sep-19,Prince Edward Island,2016A000211,Motor vehicle and parts dealers [441],Unadjusted,Dollars,81,thousands,3,v52367435,3.2.1,53974,A,,,0
Sep-19,Prince Edward Island,2016A000211,Automobile dealers [4411],Unadjusted,Dollars,81,thousands,3,v52367446,3.3.1,44199,A,,,0
Sep-19,Prince Edward Island,2016A000211,New car dealers [44111],Unadjusted,Dollars,81,thousands,3,v52367447,3.4.1,,x,,,0
